prev_state,avg_diff,std_dev,std_diff, new_state
occupied_close,25.63784784,0.051122381,-0.427365829,chair_away
occupied_close,56.46236238,0.434268088,-0.509167485,chair_away
occupied_close,64.75884819,0.798117335,-0.40288426,chair_away
occupied_close,30.53781144,0.693994305,-14.74830577,chair_away
occupied_close,37.95164856,0.280288914,-1.819256011,chair_away
occupied_close,1.017760034,0.214273864,-0.481299094,chair_close
occupied_close,3.560470097,0.298866523,-1.039408395,chair_close
occupied_close,0.458535487,0.29473202,-0.2551343,chair_close
occupied_close,-17.76406822,0.25163171,-0.438663868,chair_close
occupied_close,6.557367359,0.359048407,-2.572284434,chair_close
occupied_close,13.84977458,1.927075884,1.545719034,occupied_away
occupied_close,19.63388545,14.18867621,-1.913745754,occupied_away
occupied_close,30.72722307,8.638070838,6.800715841,occupied_away
occupied_close,31.68831992,2.019529314,1.21832471,occupied_away
occupied_close,23.3508177,8.416497983,4.854830842,occupied_away
occupied_close,-0.76886784,1.004196307,0.02103851,occupied_close
occupied_close,1.732422881,0.811395533,-0.192800773,occupied_close
occupied_close,-2.182220271,0.958897147,0.147501614,occupied_close
occupied_close,-0.554557762,0.47848821,-0.480408937,occupied_close
occupied_close,-2.451314005,0.577278009,-0.471802411,occupied_close
occupied_close,1.021534145,0.519104124,-0.058173885,occupied_close
occupied_close,4.106075473,0.586287982,0.067183858,occupied_close
occupied_close,-1.423055477,0.943435573,0.357147591,occupied_close
occupied_close,1.3082651,6.827484883,1.594471504,occupied_close
occupied_close,-2.222332579,2.234260569,-4.593224314,occupied_close
occupied_close,-1.474707665,1.930022575,-0.304237995,occupied_close
occupied_close,0.435782688,1.201001595,-0.72902098,occupied_close
occupied_close,-0.645545389,16.07836521,1.209009952,occupied_close
occupied_close,7.838914143,15.20558472,-0.872780493,occupied_close
occupied_close,-14.79536268,15.92230859,0.716723872,occupied_close
occupied_close,0.848399442,15.44230007,-0.480008515,occupied_close
occupied_close,-1.989569313,0.580798285,-0.143892783,occupied_close
occupied_close,1.204870071,1.136821038,0.556022753,occupied_close
occupied_close,0.824637733,1.913662126,0.776841088,occupied_close
occupied_close,1.478771966,2.099544925,0.185882799,occupied_close
occupied_close,-0.140495533,0.679887924,-0.588606859,occupied_close
occupied_close,2.401936698,2.269537016,1.589649092,occupied_close
occupied_close,-0.189205743,0.918067765,-1.351469251,occupied_close
occupied_close,-0.177804681,0.695572958,-0.222494807,occupied_close
occupied_close,0.764140277,6.033083615,5.365683704,occupied_close
occupied_close,2.249710616,7.756847256,1.723763642,occupied_close
occupied_close,-2.324276594,1.171772732,-6.585074525,occupied_close
occupied_close,0.753155304,1.338274919,0.166502187,occupied_close
occupied_close,-0.454938627,2.373566006,1.311080022,occupied_close
occupied_close,-0.27123848,3.317881484,0.944315478,occupied_close
occupied_close,-0.244629769,1.332007364,-1.98587412,occupied_close
occupied_close,2.796986038,0.549866319,-0.782141045,occupied_close
occupied_close,0.488102126,0.907745373,-0.493026289,occupied_close
occupied_close,-0.256195087,1.120356738,0.212611365,occupied_close
occupied_close,0.544455802,1.024549731,-0.095807007,occupied_close
occupied_close,-0.316798789,0.690295578,-0.334254153,occupied_close
occupied_close,1.382834128,0.589632546,-1.308394506,occupied_close
occupied_close,-0.268663378,1.474749129,0.885116583,occupied_close
occupied_close,-1.581846346,1.057641688,-0.417107441,occupied_close
occupied_close,-3.794817796,2.931332841,1.873691153,occupied_close
occupied_close,12.02734987,0.866302827,0.520793978,occupied_close
occupied_close,0.321783327,0.286133637,-0.58016919,occupied_close
occupied_close,-0.067028311,0.38135685,0.095223213,occupied_close
occupied_close,-5.725399391,3.352898681,-0.683359805,occupied_close
occupied_close,9.220950337,11.03945332,7.686554636,occupied_close
occupied_close,5.278785117,16.10242196,5.062968642,occupied_close
occupied_close,2.38339817,4.153798104,1.373904426,occupied_close
occupied_close,1.866604952,11.02209478,6.868296679,occupied_close
occupied_close,-10.66641187,1.837354997,-9.184739785,occupied_close
occupied_close,22.71286427,5.545625552,-4.393120972,occupied_close
occupied_close,-28.31271061,1.133208368,-4.412417183,occupied_close
occupied_close,-0.86730429,0.801204604,-0.332003764,occupied_close
occupied_close,7.468901408,10.9343303,10.37842442,occupied_close
occupied_close,-13.77700141,3.985659753,-6.948670549,occupied_close
occupied_close,4.699678401,3.561667141,-0.423992612,occupied_close